Time,T1,T2,Q1,Q2
370.0,46.68,30.889,60.0,0.0
371.0,46.68,30.889,60.0,0.0
372.0,46.712,30.889,60.0,0.0
373.01,46.841,30.889,60.0,0.0
374.0,46.841,30.889,60.0,0.0
375.0,46.938,30.889,60.0,0.0
376.0,46.97,30.889,60.0,0.0
377.0,46.938,30.889,60.0,0.0
378.0,47.002,30.889,60.0,0.0
379.0,46.97,30.889,60.0,0.0
380.0,47.002,30.889,60.0,0.0
381.0,47.002,30.889,60.0,0.0
382.0,47.002,30.889,60.0,0.0
383.0,47.002,30.889,60.0,0.0
384.01,47.002,30.889,60.0,0.0
385.0,47.002,30.953,60.0,0.0
386.0,47.002,30.953,60.0,0.0
387.0,47.002,30.953,60.0,0.0
388.0,47.002,31.082,60.0,0.0
389.01,47.002,31.05,60.0,0.0
390.01,47.066,31.146,60.0,0.0
391.01,47.066,31.179,60.0,0.0
392.0,47.034,31.114,60.0,0.0
393.01,47.066,31.211,60.0,0.0
394.0,47.066,31.179,60.0,0.0
395.01,47.131,31.211,60.0,0.0
396.0,47.034,31.211,60.0,0.0
397.0,47.131,31.211,60.0,0.0
398.01,47.099,31.211,60.0,0.0
399.0,47.034,31.211,60.0,0.0
400.0,47.066,31.211,60.0,0.0
401.01,47.26,31.211,60.0,0.0
402.01,47.324,31.211,60.0,0.0
403.0,47.324,31.211,60.0,0.0
404.01,47.324,31.211,60.0,0.0
405.0,47.324,31.211,60.0,0.0
406.0,47.324,31.211,60.0,0.0
407.01,47.324,31.211,60.0,0.0
408.0,47.324,31.211,60.0,0.0
409.01,47.324,31.243,60.0,0.0
410.01,47.356,31.308,60.0,0.0
411.0,47.324,31.372,60.0,0.0
412.0,47.324,31.275,60.0,0.0
413.0,47.324,31.437,60.0,0.0
414.0,47.356,31.34,60.0,0.0
415.0,47.356,31.533,60.0,0.0
416.0,47.485,31.469,60.0,0.0
417.0,47.421,31.469,60.0,0.0
418.0,47.582,31.501,60.0,0.0
419.0,47.582,31.501,60.0,0.0
420.01,47.614,31.533,60.0,0.0
421.0,47.582,31.533,60.0,0.0
422.0,47.582,31.533,60.0,0.0
423.0,47.646,31.533,60.0,0.0
424.01,47.646,31.533,60.0,0.0
425.01,47.646,31.533,60.0,0.0
426.01,47.646,31.533,60.0,0.0
427.0,47.646,31.533,60.0,0.0
428.0,47.646,31.533,60.0,0.0
429.0,47.646,31.533,60.0,0.0
430.0,47.646,31.533,60.0,0.0
431.0,47.646,31.533,60.0,0.0
432.0,47.646,31.533,60.0,0.0
433.0,47.775,31.533,60.0,0.0
434.01,47.679,31.533,60.0,0.0
435.0,47.743,31.565,60.0,0.0
436.0,47.808,31.565,60.0,0.0
437.01,47.84,31.565,60.0,0.0
438.01,47.808,31.63,60.0,0.0
439.0,47.872,31.565,60.0,0.0
440.01,47.808,31.565,60.0,0.0
441.0,47.969,31.727,60.0,0.0
442.0,47.969,31.694,60.0,0.0
443.01,47.969,31.63,60.0,0.0
444.0,47.969,31.759,60.0,0.0
445.01,47.969,31.791,60.0,0.0
446.0,47.969,31.791,60.0,0.0
447.0,47.969,31.823,60.0,0.0
448.0,47.969,31.855,60.0,0.0
449.0,47.969,31.823,60.0,0.0
450.0,47.969,31.855,60.0,0.0
451.0,48.001,31.823,60.0,0.0
452.0,47.969,31.855,60.0,0.0
453.0,48.033,31.855,60.0,0.0
454.0,47.969,31.855,60.0,0.0
455.0,48.033,31.855,60.0,0.0
456.0,48.065,31.855,60.0,0.0
457.0,48.065,31.855,60.0,0.0
458.0,48.098,31.855,60.0,0.0
459.0,48.065,31.855,60.0,0.0
460.0,48.162,31.855,60.0,0.0
461.0,48.13,31.855,60.0,0.0
462.0,48.259,31.855,60.0,0.0
463.0,48.259,31.855,60.0,0.0
464.0,48.291,31.855,60.0,0.0
465.0,48.291,31.855,60.0,0.0
466.0,48.291,31.855,60.0,0.0
467.0,48.291,31.855,60.0,0.0
468.0,48.291,31.855,60.0,0.0
469.0,48.291,31.855,60.0,0.0
470.01,48.291,31.888,60.0,0.0
471.0,48.291,31.888,60.0,0.0
472.01,48.291,31.952,60.0,0.0
473.01,48.291,31.888,60.0,0.0
474.0,48.291,31.952,60.0,0.0
475.0,48.291,31.952,60.0,0.0
476.0,48.291,32.017,60.0,0.0
477.01,48.291,32.017,60.0,0.0
478.0,48.291,32.146,60.0,0.0
479.0,48.291,32.049,60.0,0.0
480.01,48.291,32.146,60.0,0.0
481.0,48.323,32.017,60.0,0.0
482.01,48.291,32.178,60.0,0.0
483.0,48.355,32.178,60.0,0.0
484.0,48.355,32.178,60.0,0.0
485.0,48.42,32.178,60.0,0.0
486.01,48.549,32.178,60.0,0.0
487.0,48.549,32.178,60.0,0.0
488.0,48.581,32.178,60.0,0.0
489.0,48.613,32.178,60.0,0.0
490.0,48.549,32.178,60.0,0.0
491.0,48.613,32.178,60.0,0.0
492.01,48.581,32.178,60.0,0.0
493.01,48.613,32.178,60.0,0.0
494.0,48.613,32.178,60.0,0.0
495.0,48.613,32.178,60.0,0.0
496.0,48.613,32.178,60.0,0.0
497.0,48.613,32.178,60.0,0.0
498.01,48.613,32.178,60.0,0.0
499.01,48.613,32.178,60.0,0.0
500.0,48.613,32.178,60.0,0.0
501.0,48.613,32.178,60.0,0.0
502.0,48.613,32.178,60.0,0.0
503.0,48.613,32.21,60.0,0.0
504.0,48.613,32.21,60.0,0.0
505.0,48.613,32.242,60.0,0.0
506.0,48.613,32.21,60.0,0.0
507.0,48.613,32.274,60.0,0.0
508.0,48.613,32.403,60.0,0.0
509.0,48.613,32.339,60.0,0.0
510.0,48.613,32.274,60.0,0.0
511.0,48.613,32.339,60.0,0.0
512.0,48.613,32.274,60.0,0.0
513.0,48.613,32.339,60.0,0.0
514.0,48.646,32.339,60.0,0.0
515.0,48.613,32.436,60.0,0.0
516.0,48.646,32.5,60.0,0.0
517.0,48.613,32.468,60.0,0.0
518.01,48.613,32.5,60.0,0.0
519.01,48.613,32.468,60.0,0.0
520.0,48.613,32.5,60.0,0.0
521.01,48.613,32.468,60.0,0.0
522.0,48.613,32.5,60.0,0.0
523.0,48.613,32.5,60.0,0.0
524.0,48.613,32.5,60.0,0.0
525.0,48.613,32.5,60.0,0.0
526.0,48.613,32.5,60.0,0.0
527.01,48.613,32.5,60.0,0.0
528.0,48.613,32.5,60.0,0.0
529.01,48.613,32.5,60.0,0.0
530.0,48.646,32.5,60.0,0.0
531.01,48.613,32.5,60.0,0.0
532.0,48.613,32.5,60.0,0.0
533.0,48.646,32.5,60.0,0.0
534.0,48.613,32.5,60.0,0.0
535.0,48.613,32.5,60.0,0.0
536.0,48.613,32.5,60.0,0.0
537.0,48.613,32.5,60.0,0.0
538.0,48.646,32.5,60.0,0.0
539.0,48.613,32.5,60.0,0.0
540.0,48.646,32.5,60.0,0.0
